Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",62.364397,-73.201665,348.000000,bottom
"C2","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",62.676264,-71.734443,348.000000,bottom
"C3","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",61.113586,-81.316434,174.000000,bottom
"C4","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",60.486414,-87.283566,354.000000,bottom
"C5","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",60.000000,-97.000000,180.000000,bottom
"C6","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",60.000000,-103.000000,-0.000000,bottom
"C7","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",60.486414,-112.716434,186.000000,bottom
"C8","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",61.113586,-118.683566,6.000000,bottom
"C9","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",62.676264,-128.265557,192.000000,bottom
"C10","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",63.923736,-134.134443,12.000000,bottom
"C11","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",75.364397,-73.201665,348.000000,bottom
"C12","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",75.676264,-71.734443,348.000000,bottom
"C13","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",74.113586,-81.316434,174.000000,bottom
"C14","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",73.486414,-87.283566,354.000000,bottom
"C15","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",73.000000,-97.000000,180.000000,bottom
"C16","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",73.000000,-103.000000,-0.000000,bottom
"C17","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",73.486414,-112.716434,186.000000,bottom
"C18","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",74.113586,-118.683566,6.000000,bottom
"C19","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",75.676264,-128.265557,192.000000,bottom
"C20","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",76.923736,-134.134443,12.000000,bottom
"C21","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",88.364397,-73.201665,348.000000,bottom
"C22","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",88.676264,-71.734443,348.000000,bottom
"C23","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",87.113586,-81.316434,174.000000,bottom
"C24","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",86.486414,-87.283566,354.000000,bottom
"C25","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",86.000000,-97.000000,180.000000,bottom
"C26","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",86.000000,-103.000000,-0.000000,bottom
"C27","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",86.486414,-112.716434,186.000000,bottom
"C28","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",87.113586,-118.683566,6.000000,bottom
"C29","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",88.676264,-128.265557,192.000000,bottom
"C30","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",89.923736,-134.134443,12.000000,bottom
"C31","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",101.364397,-73.201665,348.000000,bottom
"C32","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",101.676264,-71.734443,348.000000,bottom
"C33","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",100.113586,-81.316434,174.000000,bottom
"C34","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",99.486414,-87.283566,354.000000,bottom
